x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-230.0,-250.0,0.22252122931087492,-0.45053379232330903,-0.3195613338596057,0.4191724631960806
-230.0,-240.0,0.20248852312268584,-0.37406296907943637,-0.2987797071617017,0.4227950881790939
-230.0,-230.0,0.18644687778681757,-0.30360266562935867,-0.2782062213648744,0.42570682211338645
-230.0,-220.0,0.17394740105767958,-0.23820855941942365,-0.2577917870125573,0.42798176894451045
-230.0,-210.0,0.16468285401757088,-0.17720786823788126,-0.23750297642464954,0.4296711954383636
-230.0,-200.0,0.15843966339182392,-0.12010802695032163,-0.21731718576722533,0.43081114281110844
-230.0,-190.0,0.15506886998508151,-0.06654194876521924,-0.1972198341889388,0.43142709349609415
-230.0,-180.0,0.15446742228157628,-0.01623339902754628,-0.17720268214036272,0.4315370313684117
-230.0,-170.0,0.15656543895714314,0.03102590038374542,-0.1572628001863302,0.4311535824709733
-230.0,-160.0,0.16131705643739513,0.07539199730244106,-0.13740192971669257,0.43028561411012695
-230.0,-150.0,0.16869349136153966,0.11697988941606896,-0.1176260816844082,0.4289395119449512
-230.0,-140.0,0.17867749743947847,0.15587173907783725,-0.09794527410900611,0.4271202679336485
-230.0,-130.0,0.19125871247044635,0.1921231141945965,-0.07837333843092802,0.42483246088686677
-230.0,-120.0,0.2064295847577351,0.22576789839614952,-0.058927740984712956,0.42208117861667155
-230.0,-110.0,0.22418169461615922,0.25682229925524047,-0.03962937528454532,0.41887290747260875
-230.0,-100.0,0.24450237532630203,0.28528824552498033,-0.020502287230543516,0.4152163968562854
-230.0,-90.0,0.2673716041107481,0.3111563715427239,-0.0015733011775379282,0.4111234908435722
-230.0,-80.0,0.2927591851435434,0.33440872103825536,0.017128478249366252,0.40660990547804043
-230.0,-70.0,0.32062228630172607,0.35502125310803456,0.03557230451083515,0.40169591876416716
-230.0,-60.0,0.3509034195425782,0.3729661941136917,0.05372657155884653,0.39640693171100344
-230.0,-50.0,0.3835289700577169,0.38821424759677226,0.07155972936257046,0.3907738542092545
-230.0,-40.0,0.41840837979658363,0.4007366486780939,0.08904130490500163,0.3848332704182611
-230.0,-30.0,0.4554340751476462,0.4105070297080078,0.10614298401966411,0.3786273457416954
-230.0,-20.0,0.49448219655469616,0.4175030506682982,0.12283969450318602,0.3722034516959292
-230.0,-10.0,0.5354141418514913,0.42170774165833214,0.13911062066406146,0.3656135052462636
-230.0,0.0,0.5780788798095386,0.42311050608846856,0.15494007622681735,0.358913043478261
-220.0,-290.0,0.2900828740791437,-0.7592615241841559,-0.4027292677739757,0.3870841470252138
-220.0,-280.0,0.24778891510214862,-0.6463007957772857,-0.38065043946599053,0.3946267134069211
-220.0,-270.0,0.21386024787872282,-0.5480323973374193,-0.3592144992866168,0.4007367508755158
-220.0,-260.0,0.18609685265702192,-0.46015039778937283,-0.33819422902754637,0.40577045660380884
-220.0,-250.0,0.16325382128319887,-0.3801797815361603,-0.3174598219265953,0.40993202053796
-220.0,-240.0,0.14455994035612685,-0.30655232096780916,-0.2969296618607378,0.413349459788286
-220.0,-230.0,0.12951027040424146,-0.23820855941942365,-0.2765493268106722,0.41610752197066087
-220.0,-220.0,0.11776318972969646,-0.17440051699494563,-0.25628132379052726,0.4182641307549273
-220.0,-210.0,0.1090838912424208,-0.11458377852712665,-0.2360995938029086,0.41985947864267825
-220.0,-200.0,0.10331088922823106,-0.05835398400923153,-0.215986387645072,0.42092146577720735
-220.0,-190.0,0.10033486214342835,-0.005407259154117661,-0.19593042437380057,0.4214691789498994
-220.0,-180.0,0.10008450858782325,0.04448560059925133,-0.17592579088536628,0.4215152620028822
